"time","half","year"
62,"Second",2018
73,"Second",2018
23,"First",2018
10,"First",2018
23,"First",2018
90,"Second",2018
51,"First",2018
95,"Second",2018
22,"First",2018
95,"Second",2018
4,"First",2018
44,"First",2018
88,"Second",2018
24,"First",2018
55,"Second",2018
58,"Second",2018
4,"First",2018
54,"Second",2018
93,"Second",2018
45,"First",2018
19,"First",2018
91,"Second",2018
14,"First",2018
81,"Second",2018
58,"Second",2018
81,"Second",2018
62,"Second",2018
59,"Second",2018
7,"First",2018
38,"First",2018
34,"First",2018
18,"First",2018
50,"Second",2018
19,"First",2018
23,"First",2018
32,"First",2018
71,"Second",2018
53,"Second",2018
80,"Second",2018
91,"Second",2018
49,"Second",2018
75,"Second",2018
51,"Second",2018
14,"First",2018
86,"Second",2018
76,"Second",2018
53,"Second",2018
90,"Second",2018
56,"Second",2018
20,"First",2018
50,"Second",2018
91,"Second",2018
97,"Second",2018
5,"First",2018
52,"Second",2018
90,"Second",2018
36,"First",2018
68,"Second",2018
31,"First",2018
88,"Second",2018
56,"Second",2018
93,"Second",2018
35,"First",2018
65,"Second",2018
93,"Second",2018
26,"First",2018
66,"Second",2018
48,"Second",2018
95,"Second",2018
32,"First",2018
93,"Second",2018
96,"Second",2018
50,"Second",2018
62,"Second",2018
74,"Second",2018
47,"Second",2018
69,"Second",2018
75,"Second",2018
35,"First",2018
11,"First",2018
91,"Second",2018
6,"First",2018
51,"Second",2018
16,"First",2018
48,"First",2018
90,"Second",2018
18,"First",2018
93,"Second",2018
8,"First",2018
40,"First",2018
22,"First",2018
46,"First",2018
62,"Second",2018
36,"First",2018
78,"Second",2018
51,"Second",2018
33,"First",2018
51,"Second",2018
66,"Second",2018
39,"First",2018
6,"First",2018
73,"Second",2018
86,"Second",2018
37,"First",2018
60,"Second",2018
34,"First",2018
78,"Second",2018
11,"First",2018
71,"Second",2018
40,"First",2018
70,"Second",2018
75,"Second",2018
59,"Second",2018
74,"Second",2018
13,"First",2018
57,"Second",2018
64,"Second",2018
68,"Second",2018
41,"First",2018
48,"Second",2018
93,"Second",2018
7,"First",2018
62,"Second",2018
55,"Second",2018
12,"First",2018
41,"First",2018
4,"First",2018
1,"First",2018
51,"Second",2018
88,"Second",2018
69,"Second",2018
74,"Second",2018
94,"Second",2018
48,"Second",2018
52,"Second",2018
66,"Second",2018
93,"Second",2018
57,"Second",2018
40,"First",2018
61,"Second",2018
76,"Second",2018
13,"First",2018
31,"First",2018
30,"First",2018
59,"Second",2018
31,"First",2018
115,"Extra",2018
39,"First",2018
101,"Extra",2018
51,"Second",2018
68,"Second",2018
109,"Extra",2018
5,"First",2018
4,"First",2018
82,"Second",2018
18,"First",2018
38,"First",2018
59,"Second",2018
65,"Second",2018
28,"First",2018
69,"Second",2018
12,"First",1970
54,"Second",1970
76,"Second",1970
14,"First",1970
63,"Second",1970
57,"Second",1970
76,"Second",1970
86,"Second",1970
45,"First",1970
46,"Second",1970
58,"Second",1970
83,"Second",1970
51,"Second",1970
74,"Second",1970
14,"First",1970
23,"First",1970
50,"Second",1970
10,"First",1970
53,"Second",1970
56,"Second",1970
90,"Second",1970
65,"Second",1970
24,"First",1970
59,"Second",1970
61,"Second",1970
83,"Second",1970
11,"First",1970
52,"Second",1970
75,"Second",1970
5,"First",1970
59,"Second",1970
19,"First",1970
67,"Second",1970
22,"First",1970
34,"First",1970
84,"Second",1970
50,"Second",1970
50,"Second",1970
55,"Second",1970
73,"Second",1970
13,"First",1970
49,"Second",1970
56,"Second",1970
80,"Second",1970
21,"First",1970
65,"Second",1970
75,"Second",1970
67,"Second",1970
20,"First",1970
27,"First",1970
52,"Second",1970
88,"Second",1970
67,"Second",1970
12,"First",1970
89,"Second",1970
19,"First",1970
26,"First",1970
39,"First",1970
44,"First",1970
40,"First",1970
61,"Second",1970
18,"First",1974
58,"Second",1974
72,"Second",1974
12,"First",1974
34,"First",1974
53,"Second",1974
69,"Second",1974
55,"Second",1974
77,"Second",1974
26,"First",1974
34,"First",1974
8,"First",1974
30,"First",1974
81,"Second",1974
14,"First",1974
18,"First",1974
22,"First",1974
35,"First",1974
61,"Second",1974
65,"Second",1974
88,"Second",1974
81,"Second",1974
12,"First",1974
66,"Second",1974
79,"Second",1974
7,"First",1974
86,"Second",1974
75,"Second",1974
87,"Second",1974
78,"Second",1974
5,"First",1974
44,"First",1974
71,"Second",1974
88,"Second",1974
46,"Second",1974
77,"Second",1974
74,"Second",1974
52,"Second",1974
66,"Second",1974
79,"Second",1974
46,"Second",1974
7,"First",1974
62,"Second",1974
8,"First",1974
60,"Second",1974
66,"Second",1974
20,"First",1974
35,"First",1974
17,"First",1974
87,"Second",1974
18,"First",1974
30,"First",1974
34,"First",1974
50,"Second",1974
31,"First",1974
15,"First",1974
68,"Second",1974
18,"First",1974
55,"Second",1974
63,"Second",1974
38,"First",1974
44,"First",1974
85,"Second",1974
18,"First",1982
83,"Second",1982
55,"Second",1982
58,"Second",1982
61,"Second",1982
68,"Second",1982
76,"Second",1982
83,"Second",1982
60,"Second",1982
61,"Second",1982
67,"Second",1982
54,"Second",1982
68,"Second",1982
21,"First",1982
9,"First",1982
57,"Second",1982
66,"Second",1982
81,"Second",1982
90,"Second",1982
55,"Second",1982
67,"Second",1982
7,"First",1982
31,"First",1982
35,"First",1982
59,"Second",1982
73,"Second",1982
10,"First",1982
62,"Second",1982
4,"First",1982
83,"Second",1982
11,"First",1982
23,"First",1982
54,"Second",1982
50,"Second",1982
69,"Second",1982
72,"Second",1982
76,"Second",1982
70,"Second",1982
64,"Second",1982
26,"First",1982
28,"First",1982
57,"Second",1982
60,"Second",1982
76,"Second",1982
19,"First",1982
76,"Second",1982
27,"First",1982
22,"First",1982
52,"Second",1982
1,"First",1982
67,"Second",1982
83,"Second",1982
24,"First",1982
21,"First",1982
57,"Second",1982
62,"Second",1982
66,"Second",1982
31,"First",1982
43,"First",1982
48,"Second",1982
89,"Second",1982
75,"Second",1982
66,"Second",1982
84,"Second",1982
27,"First",1982
65,"Second",1982
8,"First",1982
14,"First",1982
66,"Second",1982
10,"First",1982
