"times","which.cup"
"13'",1970
"49'",1970
"56'",1970
"80'",1970
"21'",1970
"65'",1970
"75'",1970
"67'",1970
"20'",1970
"27'",1970
"52' (pen.)",1970
"88'",1970
"67'",1970
"12'",1970
"89'",1970
"19'",1970
"26'",1970
"39'",1970
"44'",1970
"40'",1970
"61'",1970
"18'",1974
"58' (o.g.)",1974
"72'",1974
"12'",1974
"34'",1974
"53'",1974
"69'",1974
"55'",1974
"77'",1974
"26'",1974
"34'",1974
"8'",1974
"30'",1974
"81'",1974
"14'",1974
"18'",1974
"22'",1974
"35'",1974
"61'",1974
"65'",1974
"88'",1974
"81'",1974
"12'",1974
"66'",1974
"79'",1974
"7'",1974
"86'",1974
"75'",1974
"87'",1974
"78' (o.g.)",1974
"5' (pen.)",1974
"44' (pen.)",1974
"71'",1974
"88'",1974
"46'",1974
"74'",1974
"77'",1974
"52'",1974
"66'",1974
"79'",1974
"46'",1974
"7'",1974
"8'",1974
"62'",1974
"60'",1974
"66'",1974
"20'",1974
"35' (o.g.)",1974
"17'",1974
"18'",1974
"30'",1974
"31'",1974
"34'",1974
"50'",1974
"87'",1974
"15'",1974
"18'",1974
"55'",1974
"68'",1974
"63'",1974
"38'",1974
"44'",1974
"85'",1974
"18'",1982
"83'",1982
"55'",1982
"58'",1982
"61'",1982
"68'",1982
"76'",1982
"83'",1982
"60'",1982
"61'",1982
"67'",1982
"54'",1982
"68'",1982
"21'",1982
"9'",1982
"57'",1982
"66'",1982
"81'",1982
"90'",1982
"55'",1982
"67'",1982
"7'",1982
"31'",1982
"35'",1982
"59' (pen.)",1982
"73'",1982
"10'",1982
"62'",1982
"4'",1982
"83'",1982
"11'",1982
"23'",1982
"54'",1982
"50'",1982
"69'",1982
"72'",1982
"76'",1982
"70'",1982
"64'",1982
"26'",1982
"28'",1982
"57'",1982
"60'",1982
"76'",1982
"19'",1982
"76'",1982
"27'",1982
"22' (pen.)",1982
"52'",1982
"1'",1982
"67'",1982
"83'",1982
"24'",1982
"21' (pen.)",1982
"57'",1982
"62'",1982
"66' (o.g.)",1982
"31'",1982
"43'",1982
"48'",1982
"89'",1982
"75'",1982
"66'",1982
"84' (pen.)",1982
"27'",1982
"65' (pen.)",1982
"8'",1982
"14' (pen.)",1982
"66'",1982
"10'",1982
"60'",1982
"10'",1982
"88' (pen.)",1982
"47'",1982
"76'",1982
"89'",1982
"34'",1982
"18'",1982
"29'",1982
"32'",1982
"73'",1982
"79'",1982
"54'",1982
"64'",1982
"33'",1982
"48'",1982
"63'",1982
"87'",1982
"18'",1982
"24'",1982
"48'",1982
"68'",1982
"59'",1982
"84'",1982
"15'",1982
"86'",1982
"28'",1982
"31'",1982
"64'",1982
"70'",1982
"4'",1982
"26'",1982
"53'",1982
"48'",1982
"50'",1982
"75'",1982
"82'",1982
"57'",1982
"67'",1982
"83'",1982
"89'",1982
"11'",1982
"66'",1982
"75'",1982
"5'",1982
"25'",1982
"74'",1982
"12'",1982
"68'",1982
"39'",1982
"50'",1982
"68'",1982
"27'",1982
"75'",1982
"33'",1982
"80'",1982
"46'",1982
"68'",1982
"75'",1982
"85'",1986
"44'",1986
"6'",1986
"46'",1986
"18'",1986
"73'",1986
"6' (pen.)",1986
"34'",1986
"70'",1986
"11'",1986
"62'",1986
"83'",1986
"17'",1986
"73'",1986
"82' (o.g.)",1986
"4'",1986
"77'",1986
"45'",1986
"23'",1986
"39'",1986
"35'",1986
"3'",1986
"85'",1986
"59'",1986
"16'",1986
"21' (pen.)",1986
"50'",1986
"76'",1986
"30'",1986
"59'",1986
"54'",1986
"79'",1986
"2'",1986
"4'",1986
"24' (pen.)",1986
"66'",1986
"73' (o.g.)",1986
"80'",1986
"60'",1986
"53'",1986
"2'",1986
"75'",1986
"29'",1986
"62'",1986
"84'",1986
"58'",1986
"74'",1986
"62'",1986
"59'",1986
"6'",1986
"66'",1986
"46'",1986
"1'",1986
"18'",1986
"15'",1986
"87'",1986
"42'",1986
"15'",1986
"68'",1986
"70'",1986
"4'",1986
"84'",1986
"57'",1986
"23'",1986
"49'",1986
"18'",1986
"11'",1986
"67'",1986
"80'",1986
"41'",1986
"52'",1986
"88'",1986
"45' (pen.)",1986
"43' (pen.)",1986
"62'",1986
"76'",1986
"68'",1986
"9'",1986
"14'",1986
"34'",1986
"80'",1986
"19'",1986
"26'",1986
"62'",1986
"78'",1990
"60'",1990
"26'",1990
"78'",1990
"40' (pen.)",1990
"50'",1990
"90+3'",1990
"11'",1990
"31' (pen.)",1990
"9'",1990
"78'",1990
"49'",1990
"63'",1990
"83'",1990
"67'",1990
"41'",1990
"55' (pen.)",1990
"27'",1990
"79'",1990
"76'",1990
"86'",1990
"88'",1990
"62'",1990
"68'",1990
"20'",1990
"29'",1990
"52'",1990
"63'",1990
"40'",1990
"63'",1990
"79'",1990
"49'",1990
"33'",1990
"86'",1990
"11'",1990
"81' (pen.)",1990
"81'",1990
"32'",1990
"75'",1990
"87'",1990
"50'",1990
"85'",1990
"28'",1990
"64'",1990
"39'",1990
"70'",1990
"55'",1990
"75'",1990
"35'",1990
"75'",1990
"37'",1990
"47'",1990
"58'",1990
"46'",1990
"88'",1990
"90+3'",1990
"5'",1990
"9'",1990
"46'",1990
"90+3'",1990
"22'",1990
"53'",1990
"64'",1990
"15'",1990
"24'",1990
"47'",1990
"73'",1990
"43'",1990
"23'",1990
"61'",1990
"81'",1990
"29'",1990
"26' (pen.)",1990
"38'",1990
"90+1'",1990
"9'",1990
